english,somali,Dataset_ID
English sentence 1,Somali sentence 1,4559
English sentence 2,Somali sentence 2,5739
English sentence 3,Somali sentence 3,2894
English sentence 4,Somali sentence 4,5449
English sentence 5,Somali sentence 5,3186
English sentence 6,Somali sentence 6,8486
English sentence 7,Somali sentence 7,2044
English sentence 8,Somali sentence 8,5065
English sentence 9,Somali sentence 9,1511
English sentence 10,Somali sentence 10,4871
English sentence 11,Somali sentence 11,3410
English sentence 12,Somali sentence 12,6506
English sentence 13,Somali sentence 13,7956
English sentence 14,Somali sentence 14,7619
English sentence 15,Somali sentence 15,4366
English sentence 16,Somali sentence 16,2738
English sentence 17,Somali sentence 17,2413
English sentence 18,Somali sentence 18,4797
English sentence 19,Somali sentence 19,7114
English sentence 20,Somali sentence 20,3832
English sentence 21,Somali sentence 21,7446
English sentence 22,Somali sentence 22,3181
English sentence 23,Somali sentence 23,9917
English sentence 24,Somali sentence 24,5787
English sentence 25,Somali sentence 25,4388
English sentence 26,Somali sentence 26,5984
English sentence 27,Somali sentence 27,7431
English sentence 28,Somali sentence 28,7370
English sentence 29,Somali sentence 29,6217
English sentence 30,Somali sentence 30,5348
English sentence 31,Somali sentence 31,9562
English sentence 32,Somali sentence 32,3141
English sentence 33,Somali sentence 33,5962
English sentence 34,Somali sentence 34,9327
English sentence 35,Somali sentence 35,7619
English sentence 36,Somali sentence 36,1827
English sentence 37,Somali sentence 37,2011
English sentence 38,Somali sentence 38,2368
English sentence 39,Somali sentence 39,1259
English sentence 40,Somali sentence 40,1358
English sentence 41,Somali sentence 41,6820
English sentence 42,Somali sentence 42,5712
English sentence 43,Somali sentence 43,3114
English sentence 44,Somali sentence 44,6450
English sentence 45,Somali sentence 45,5656
English sentence 46,Somali sentence 46,8443
English sentence 47,Somali sentence 47,8689
English sentence 48,Somali sentence 48,8823
English sentence 49,Somali sentence 49,1747
English sentence 50,Somali sentence 50,3782
English sentence 51,Somali sentence 51,8549
English sentence 52,Somali sentence 52,7766
English sentence 53,Somali sentence 53,3480
English sentence 54,Somali sentence 54,8137
English sentence 55,Somali sentence 55,4022
English sentence 56,Somali sentence 56,3011
English sentence 57,Somali sentence 57,7681
English sentence 58,Somali sentence 58,5020
English sentence 59,Somali sentence 59,1103
English sentence 60,Somali sentence 60,6982
