english,somali,Dataset_ID
English sentence 1,Somali sentence 1,9687
English sentence 2,Somali sentence 2,5072
English sentence 3,Somali sentence 3,1665
English sentence 4,Somali sentence 4,6930
English sentence 5,Somali sentence 5,1179
English sentence 6,Somali sentence 6,2206
English sentence 7,Somali sentence 7,8997
English sentence 8,Somali sentence 8,4592
English sentence 9,Somali sentence 9,5409
English sentence 10,Somali sentence 10,2466
English sentence 11,Somali sentence 11,1603
English sentence 12,Somali sentence 12,1466
English sentence 13,Somali sentence 13,3228
English sentence 14,Somali sentence 14,7274
English sentence 15,Somali sentence 15,3463
English sentence 16,Somali sentence 16,1416
English sentence 17,Somali sentence 17,3987
English sentence 18,Somali sentence 18,2771
English sentence 19,Somali sentence 19,3240
English sentence 20,Somali sentence 20,2428
English sentence 21,Somali sentence 21,6796
English sentence 22,Somali sentence 22,9757
English sentence 23,Somali sentence 23,1280
English sentence 24,Somali sentence 24,8049
English sentence 25,Somali sentence 25,2828
English sentence 26,Somali sentence 26,3222
English sentence 27,Somali sentence 27,1051
English sentence 28,Somali sentence 28,5717
English sentence 29,Somali sentence 29,2735
English sentence 30,Somali sentence 30,6682
English sentence 31,Somali sentence 31,5491
English sentence 32,Somali sentence 32,5600
English sentence 33,Somali sentence 33,8179
English sentence 34,Somali sentence 34,2256
English sentence 35,Somali sentence 35,9656
English sentence 36,Somali sentence 36,3147
English sentence 37,Somali sentence 37,2545
English sentence 38,Somali sentence 38,2734
English sentence 39,Somali sentence 39,1862
English sentence 40,Somali sentence 40,1304
English sentence 41,Somali sentence 41,4457
English sentence 42,Somali sentence 42,8223
English sentence 43,Somali sentence 43,7273
English sentence 44,Somali sentence 44,2900
English sentence 45,Somali sentence 45,6932
English sentence 46,Somali sentence 46,9559
English sentence 47,Somali sentence 47,5985
English sentence 48,Somali sentence 48,6954
English sentence 49,Somali sentence 49,3889
English sentence 50,Somali sentence 50,9127
